sample_id,source_id,source_document,source_hash,source_page,series_id,entity,period,unit,coder_value,coder_scope_match,coder_notes,reviewer_name,reviewed_at
AUD-001,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,ALL_RESIDENTS,2023-Q2,percent,,,,,
AUD-002,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,MALE_RESIDENTS,2023-Q4,percent,,,,,
AUD-003,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,ALL_RESIDENTS,2022-Q2,percent,,,,,
AUD-004,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,ALL_RESIDENTS,2023-Q3,percent,,,,,
AUD-005,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,MALE_RESIDENTS,2025-Q3,percent,,,,,
AUD-006,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,FEMALE_RESIDENTS,2025-Q1,percent,,,,,
AUD-007,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,MALE_RESIDENTS,2026-Q1,percent,,,,,
AUD-008,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,ALL_RESIDENTS,2023-Q4,percent,,,,,
AUD-009,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,ALL_RESIDENTS,2025-Q2,percent,,,,,
AUD-010,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,MALE_RESIDENTS,2023-Q2,percent,,,,,
AUD-011,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,FEMALE_RESIDENTS,2023-Q4,percent,,,,,
AUD-012,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,ALL_RESIDENTS,2025-Q1,percent,,,,,
AUD-013,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,FEMALE_RESIDENTS,2025-Q4,percent,,,,,
AUD-014,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,FEMALE_RESIDENTS,2025-Q2,percent,,,,,
AUD-015,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,FEMALE_RESIDENTS,2023-Q3,percent,,,,,
AUD-016,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,ALL_RESIDENTS,2024-Q2,percent,,,,,
AUD-017,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,MALE_RESIDENTS,2022-Q4,percent,,,,,
AUD-018,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,FEMALE_RESIDENTS,2024-Q3,percent,,,,,
AUD-019,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,ALL_RESIDENTS,2022-Q3,percent,,,,,
AUD-020,JOR_DOS,https://dosweb.dos.gov.jo/databank/News/Unemployment/2026/unemp_Q1_2026_en.pdf,b3627bd4d5e5dbfc55f289a645dbc0f2ed8924b15bab027dd4b1f4d51c633f96,2,labor.unemployment.total_population,ALL_RESIDENTS,2024-Q4,percent,,,,,
